id,name,merchant_name,amount,transactionDate,category_id,category_text,cat_name,is_income
d2b8997c-770f-405d-beb0-21126353b4b3,Home & Furnishings,Home Depot,149.97,2022-11-02 17:00:00-07,54,HOME_IMPROVEMENT_FURNITURE,HOME_IMPROVEMENT,f
474bdd86-0ee0-471c-a3c0-b086ff48c573,Zelle Transfer Out,Venmo,48.1,2022-11-02 21:00:00-07,31,TRANSFER_OUT_ACCOUNT_TRANSFER,TRANSFER_OUT,f
8f6d7115-d7b0-4bbe-92a4-2d40a74457e6,House Rent & Utilities,Property Mgmt,848.91,2022-11-03 16:00:00-07,34,RENT_AND_UTILITIES_RENT,RENT_AND_UTILITIES,f
3721ce64-54be-4804-bac6-955eaaa3a520,Coffee,Dunkin Donuts,5.09,2022-11-05 17:00:00-07,24,FOOD_AND_DRINK_COFFEE,FOOD_AND_DRINK,f
06db5a90-4aa0-42d0-aa3f-c955b55f14c7,Mobile Bill,Verizon,37.52,2022-11-05 19:00:00-07,64,RENT_AND_UTILITIES_TELEPHONE,RENT_AND_UTILITIES,f
6ce3cfbe-d1f5-41f6-addf-75b2c66b054a,WiFi Bill,Comcast,29.52,2022-11-06 14:00:00-08,43,RENT_AND_UTILITIES_INTERNET_AND_CABLE,RENT_AND_UTILITIES,f
71fc273b-51f8-4e91-b319-91246e96988a,Grocery (Credit Card),Trader Joe’s,31.69,2022-11-08 16:00:00-08,52,FOOD_AND_DRINK_GROCERIES,FOOD_AND_DRINK,f
ee1f7f70-4fd6-438a-94d1-da52efc1b10a,Bar,BJ’s,13.58,2022-11-09 16:00:00-08,21,FOOD_AND_DRINK_BEER_WINE_AND_LIQUOR,FOOD_AND_DRINK,f
8bbde246-131f-4384-a14b-9d9ccb75ef60,Flight Tickets,Delta,159.59,2022-11-10 14:00:00-08,56,TRAVEL_FLIGHTS,TRAVEL,f
903da867-fa54-42be-a4cd-1e2f98540a3b,Bar,Buffalo Wild Wings,20.94,2022-11-11 13:00:00-08,21,FOOD_AND_DRINK_BEER_WINE_AND_LIQUOR,FOOD_AND_DRINK,f
0e6c3a6e-f202-4281-a3ab-9bd5e767d2f3,Donation (Non-Profit),Red Cross,97.34,2022-11-11 15:00:00-08,16,GOVERNMENT_AND_NON_PROFIT_DONATIONS,GOVERNMENT_AND_NON_PROFIT,f
c861581f-21fd-4865-805f-34287e7db882,Groceries,Trader Joe’s,53.76,2022-11-12 12:00:00-08,52,FOOD_AND_DRINK_GROCERIES,FOOD_AND_DRINK,f
fd227542-758f-4528-bc3d-d38837f9a889,Restaurant,PF Chang’s,13.02,2022-11-12 19:00:00-08,20,FOOD_AND_DRINK_RESTAURANT,FOOD_AND_DRINK,f
0db22573-93d4-4f36-90df-b345bd9b1da7,Hotels,Marriott,164.69,2022-11-13 10:00:00-08,92,TRAVEL_LODGING,TRAVEL,f
b2e5fa66-525f-4c3d-8334-d262a208d42b,Health Insurance,Anthem,67.91,2022-11-13 18:00:00-08,55,GENERAL_SERVICES_INSURANCE,GENERAL_SERVICES,f
ae803963-1213-47bf-ba34-69e667722111,Grocery (Credit Card),Vons,32.82,2022-11-15 21:00:00-08,52,FOOD_AND_DRINK_GROCERIES,FOOD_AND_DRINK,f
a1357507-d052-475d-aa78-4f19a41de4e9,Donation (College),Red Cross,152.8,2022-11-16 18:00:00-08,16,GOVERNMENT_AND_NON_PROFIT_DONATIONS,GOVERNMENT_AND_NON_PROFIT,f
b3c30365-2618-4b77-b95f-45c8d5ad3e67,Shopping,Best Buy,23.2,2022-11-17 21:00:00-08,74,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,GENERAL_MERCHANDISE,f
9eb6be09-585e-4fcf-a0a5-0ce250c7631f,Shopping,Target,41.88,2022-11-18 11:00:00-08,74,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,GENERAL_MERCHANDISE,f
c4b75cf1-c97d-45d7-a5e9-fb591f980164,Vehicle Maintenance,Firestone,71.31,2022-11-18 12:00:00-08,53,HOME_IMPROVEMENT_REPAIR_AND_MAINTENANCE,HOME_IMPROVEMENT,f
06ac402c-92e0-40b1-b641-615a7b67994f,Hulu,Hulu,8.48,2022-11-18 20:00:00-08,36,ENTERTAINMENT_TV_AND_MOVIES,ENTERTAINMENT,f
5792f029-ff26-49fa-baf4-17d4207ca8d3,Food,Panera,15.28,2022-11-18 20:00:00-08,22,FOOD_AND_DRINK_FAST_FOOD,FOOD_AND_DRINK,f
bd648be5-d117-4b49-aa8a-76484638cadc,Travel & Vacation,Expedia,169.78,2022-11-19 12:00:00-08,65,TRAVEL_OTHER_TRAVEL,TRAVEL,f
6b212b48-4ea6-4c88-861b-d2f2ee8a826e,Restaurant,Olive Garden,19.81,2022-11-20 10:00:00-08,20,FOOD_AND_DRINK_RESTAURANT,FOOD_AND_DRINK,f
72997bc1-fe8b-43ca-bdd5-af093e35e7fa,Cloth Shopping,Macy’s,59.42,2022-11-21 15:00:00-08,74,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,GENERAL_MERCHANDISE,f
d5a39495-4a26-4d31-8342-d408dce5b5a3,Grocery (Credit Card),Ralphs,15.85,2022-11-21 16:00:00-08,52,FOOD_AND_DRINK_GROCERIES,FOOD_AND_DRINK,f
c2956f83-6bff-40e2-84fd-688f5693d21b,Vehicle Insurance,GEICO,107.53,2022-11-22 15:00:00-08,55,GENERAL_SERVICES_INSURANCE,GENERAL_SERVICES,f
a0cb913a-0060-4a1c-b75b-70a99fe54665,Amazon Prime,Amazon Prime,8.48,2022-11-22 17:00:00-08,36,ENTERTAINMENT_TV_AND_MOVIES,ENTERTAINMENT,f
cc8d049d-0885-4ad9-a6fe-08ac2f27eae5,Netflix,Netflix,9.05,2022-11-24 10:00:00-08,36,ENTERTAINMENT_TV_AND_MOVIES,ENTERTAINMENT,f
5a860b28-999d-498d-889d-e9d5ad9d9b03,Gas,Arco,33.39,2022-11-24 20:00:00-08,57,TRANSPORTATION_GAS,TRANSPORTATION,f
8ba38a9c-876e-4d8e-a6bc-700d6a5322fa,Restaurant,Cheesecake Factory,13.02,2022-11-25 12:00:00-08,20,FOOD_AND_DRINK_RESTAURANT,FOOD_AND_DRINK,f
8930f8b0-6016-4e6e-8757-d69fd4d88c91,Food,Five Guys,5.09,2022-11-25 18:00:00-08,22,FOOD_AND_DRINK_FAST_FOOD,FOOD_AND_DRINK,f
e01de766-c410-4e6f-b251-ccc72dfbc1ed,Coffee,Dunkin Donuts,4.53,2022-11-25 20:00:00-08,24,FOOD_AND_DRINK_COFFEE,FOOD_AND_DRINK,f
162efd87-32a6-4ef8-9b69-f15033819b81,Food,Subway,12.45,2022-11-27 20:00:00-08,22,FOOD_AND_DRINK_FAST_FOOD,FOOD_AND_DRINK,f
3c9bbcbc-e60e-4228-a760-9aa4a7fecd20,Shopping,Walmart,27.16,2022-11-28 20:00:00-08,74,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,GENERAL_MERCHANDISE,f
550f3366-0714-4af6-b369-527dac452def,Groceries,Trader Joe’s,44.14,2022-11-29 18:00:00-08,52,FOOD_AND_DRINK_GROCERIES,FOOD_AND_DRINK,f
d4d66a95-15f3-4e49-9c31-774e3f242ab1,Gas,Shell,29.99,2022-11-29 19:00:00-08,57,TRANSPORTATION_GAS,TRANSPORTATION,f
19d57ad3-8b63-40a6-bfe4-9f39ef90f791,Food,Five Guys,12.45,2022-11-29 20:00:00-08,22,FOOD_AND_DRINK_FAST_FOOD,FOOD_AND_DRINK,f
ca58ebd7-768b-4bb5-baf5-61ed7587efea,Coffee,Starbucks,4.53,2022-11-30 10:00:00-08,24,FOOD_AND_DRINK_COFFEE,FOOD_AND_DRINK,f
89efebdc-e0b8-4618-9bc4-14c290e1b81c,Bar,BJ’s,9.05,2022-11-30 17:00:00-08,21,FOOD_AND_DRINK_BEER_WINE_AND_LIQUOR,FOOD_AND_DRINK,f
